Date,AI.PA,AIR.PA,CS.PA,BNP.PA,BN.PA,EL.PA,RMS.PA,KER.PA,OR.PA,MC.PA,RI.PA,SAF.PA,SAN.PA,SU.PA,TTE.PA,DG.PA
2021-01-04,119.4726333618164,88.6194076538086,17.146141052246094,38.20265197753906,50.789730072021484,125.6741943359375,874.7078857421875,560.9978637695312,303.69012451171875,500.8716735839844,154.84327697753906,115.16835021972656,73.54212951660156,116.69117736816406,31.498882293701172,78.41097259521484
2021-01-05,118.20304107666016,88.56025695800781,17.13908576965332,38.122711181640625,50.97645568847656,124.3564453125,860.4656372070312,552.1100463867188,300.57232666015625,495.10107421875,151.62347412109375,115.4162368774414,73.5328140258789,115.58895874023438,32.32767868041992,77.08390045166016
2021-01-06,118.46571350097656,88.89544677734375,17.87122344970703,40.22780990600586,51.42460632324219,125.43016052246094,858.487548828125,555.6844482421875,300.8646240234375,491.28656005859375,149.4281463623047,115.31708526611328,73.08598327636719,118.79976654052734,33.74847412109375,80.04137420654297
2021-01-07,119.38507080078125,88.35322570800781,17.98148536682129,41.13380432128906,50.62167739868164,125.57657623291016,865.8064575195312,557.809814453125,299.69549560546875,504.0014953613281,151.91616821289062,114.8213119506836,72.3505630493164,121.24381256103516,34.117332458496094,80.17408752441406
2021-01-08,120.08552551269531,88.8264389038086,17.963844299316406,40.22336959838867,49.501312255859375,127.7728271484375,877.6749267578125,566.4078369140625,298.42889404296875,513.7822875976562,154.1114959716797,115.36666107177734,73.34663391113281,122.5377197265625,34.140106201171875,81.19783020019531
2021-01-11,119.25373840332031,88.5109634399414,17.862401962280273,39.952457427978516,49.18387985229492,126.25987243652344,878.4661865234375,563.31640625,297.2597351074219,510.94586181640625,152.9894561767578,115.51538848876953,73.76554870605469,121.5313491821289,33.620975494384766,78.18347930908203
2021-01-12,117.32746887207031,88.68842315673828,17.809476852416992,40.27222442626953,49.109188079833984,125.43016052246094,874.9055786132812,555.9743041992188,292.7779235839844,504.49053955078125,152.35525512695312,115.31708526611328,73.71900177001953,120.5728988647461,33.74391555786133,78.75222778320312
2021-01-13,118.46571350097656,87.85043334960938,17.699214935302734,39.992435455322266,50.117515563964844,125.57657623291016,877.6749267578125,551.4337768554688,293.7522277832031,500.8716735839844,154.16029357910156,113.53228759765625,73.57005310058594,120.9562759399414,34.094566345214844,79.64324951171875
2021-01-14,117.6339111328125,91.93191528320312,17.68157386779785,40.085693359375,49.4079475402832,123.47795104980469,887.1696166992188,550.2744140625,290.3421936035156,496.8616027832031,152.20889282226562,115.96157836914062,75.37602996826172,119.32691192626953,34.42699432373047,82.01302337646484
2021-01-15,115.92652893066406,91.24181365966797,17.56778335571289,39.46837615966797,50.06149673461914,121.08647918701172,871.3450927734375,542.7390747070312,290.7319030761719,483.11968994140625,151.76983642578125,113.7801742553711,75.8973388671875,119.18314361572266,33.78490447998047,80.30679321289062
2021-01-18,116.36433410644531,89.90103912353516,17.407241821289062,39.79702377319336,51.08849334716797,122.06259155273438,877.8726806640625,546.3135375976562,289.2704162597656,488.69464111328125,151.57470703125,112.73905181884766,75.99043273925781,117.64962768554688,33.68016815185547,80.24991607666016
